	AveExpr	Coef	t	P.value	F	F.p.value
CLEC12B	2.00496936079537	-0.848009038945101	-1.82141260489349	0.0946359201166681	3.3175438772649	0.0946359201166681
CLEC14A	5.45127139440703	0.431599522431532	1.76479295831342	0.104107073334416	3.11449418571265	0.104107073334416
CLEC16A	3.89088187301089	0.451980273773883	1.85013294415579	0.090136737041057	3.42299191105058	0.090136737041057
CLEC17A	1.1543931676094	1.95545417970302	4.19972575341642	0.00134993203922802	17.6376964039091	0.00134993203922802
CLEC18A	0.371094547293305	1.14918373212183	2.04449512473365	0.06449068772298	4.17996031505968	0.06449068772298
CLEC1A	2.40555142320077	0.765813416980753	2.21279350574293	0.0479650847397246	4.89645509905807	0.0479650847397246
CLEC2A	3.22914200322809	-5.95305540313576	-10.437049072867	3.27289116036513e-07	108.931993349434	3.27289116036513e-07
CLEC2B	3.45976730562684	-0.309679365168282	-0.648202797038642	0.529582314894634	0.420166866088719	0.529582314894634
CLEC2D	4.04810419816092	3.6802957120734	6.8329412954289	2.255597221353e-05	46.6890867467775	2.255597221353e-05
CLEC4A	2.58691066354489	5.16006085026066	6.88134786968895	2.11072355408145e-05	47.3529485036727	2.11072355408145e-05
CLEC4C	3.25811799635384	2.47402690512239	5.92963579182952	8.24008269057523e-05	35.1605806237457	8.24008269057524e-05
CLEC4D	1.00593607990249	6.5631753183445	8.69991296020358	2.13366348012913e-06	75.6884855151182	2.13366348012913e-06
CLEC4E	1.7206084387128	3.21795538857198	7.1630550264788	1.44280937232145e-05	51.3093573123632	1.44280937232145e-05
CLEC5A	3.29903620086709	3.21699051229918	5.11122770345188	0.000293749286158746	26.124648636534	0.000293749286158746
CLEC6A	-0.278862210178471	8.22409247106494	11.6401350002719	1.03213752195514e-07	135.492742824556	1.03213752195514e-07
CLEC7A	5.11854755155451	4.43467500372495	14.2600931255052	1.15067897007221e-08	203.35025594808	1.15067897007221e-08
CLECL1	1.15341490246452	2.46051410516768	4.19327859004379	0.00136509714183023	17.5835853337197	0.00136509714183023
CLHC1	2.27688770835626	-0.687784721888777	-1.86116815756833	0.0884604858798149	3.46394691074628	0.0884604858798149
CLIC1	8.67753815431692	1.25004495326109	3.56959880754948	0.00410948129769906	12.7420356468587	0.00410948129769907
CLIC2	5.57269024156913	1.72060902705834	4.90483329442944	0.000410836102797172	24.0573896461435	0.000410836102797172
CLIC3	1.48786694988736	0.420666934990789	0.91796864523742	0.377483990018008	0.842666433639023	0.377483990018008
CLIC4	6.38011405092034	0.427983043168721	0.47370250977219	0.644576959163485	0.224394067764472	0.644576959163485
CLIC5	3.71726315483594	0.443061555356296	0.906090044427803	0.383478097665775	0.820999168611179	0.383478097665775
CLIC6	3.62713095423249	0.970321082087195	2.2392072788054	0.0457679706506442	5.01404923745507	0.0457679706506442
CLINT1	6.16962397392319	0.334889309207338	1.46694209883997	0.169196208768246	2.15191912134901	0.169196208768246
CLIP1	6.62402349338531	0.183333461202857	0.520468322785019	0.612609534252343	0.27088727502265	0.612609534252343
CLIP2	4.51567272465109	0.0548277765455349	0.150237926682182	0.883179400843046	0.0225714346137606	0.883179400843046
CLIP3	1.87809611047538	-0.297612604466269	-0.594372637935533	0.563772183811131	0.353278832726444	0.563772183811131
CLIP4	5.54130934114551	-0.967693451665216	-4.23614359650792	0.00126749854774258	17.944912570235	0.00126749854774258
CLK1	6.95694489447707	0.377974626648629	1.16705364252595	0.266815937375474	1.36201420453309	0.266815937375474
CLK2	5.29806168351976	0.294204124554428	1.60597684925795	0.1353663397133	2.5791616403525	0.1353663397133
CLK3	5.78727992020394	-0.168127457267988	-0.953199922310753	0.360092935873892	0.908590091893226	0.360092935873892
CLK4	4.7118185478105	-0.200879234075426	-0.629366211448356	0.5414091796666	0.396101828112856	0.5414091796666
CLMN	4.92145684066644	0.411054892611581	1.02540560796725	0.326255624696527	1.05145666085069	0.326255624696527
CLMP	6.72867875499589	-0.00865433949355321	-0.0187642200124818	0.98535077842136	0.000352095952676823	0.98535077842136
CLN3	5.10678154088347	0.413207355743663	1.85265492071037	0.0897511139153351	3.43233025523236	0.0897511139153351
CLN5	6.76183444990501	0.103495566772684	0.39653955284191	0.698965713559115	0.157243616968062	0.698965713559115
CLN6	4.66637780311513	0.670687059885456	2.42979445700437	0.0325417880943128	5.90390110328916	0.0325417880943128
CLN8	4.13751686245503	-0.115450687807564	-0.270685350940867	0.79142934210501	0.0732705592139803	0.79142934210501
CLNK	0.237134883802467	0.578815437411826	1.19792695254119	0.25504956985387	1.43502898362463	0.25504956985387
CLNS1A	5.23135997122822	1.10237452181887	3.70724765503515	0.00321159351158111	13.7436851757636	0.00321159351158111
CLOCK	6.27535644002612	-1.10262827478934	-4.25333796765808	0.00123041584070214	18.0908838671218	0.00123041584070214
CLP1	4.94918971555234	0.671950525473655	2.68844825221728	0.0203717732667372	7.22775400485013	0.0203717732667372
CLPB	5.50987362292231	0.955056620676135	4.46885690134145	0.000850700122142858	19.9706820046671	0.000850700122142858
CLPP	3.94189932096828	0.594460425400639	2.38232376039816	0.035441264132946	5.67546649935764	0.035441264132946
CLPTM1	4.57371752904776	0.0608740756127411	0.208422259663324	0.838544538675823	0.043439838323166	0.838544538675823
CLPTM1L	5.85719867646092	0.147349936343616	0.621847840758153	0.546171235688146	0.386694737055577	0.546171235688146
CLPX	4.91302897881836	-0.592725356414531	-0.734683667471552	0.477245009983912	0.539760091249449	0.477245009983912
CLSPN	2.40364949718265	1.40882679975148	2.17753228867539	0.0510548642586421	4.74164686822387	0.0510548642586421
CLSTN1	6.21354793240642	-1.44147792249739	-3.63175602518389	0.00367581164824509	13.1896518264595	0.00367581164824509
CLSTN2	4.17795365965534	-4.16173238959202	-10.5641189417847	2.88255637449842e-07	111.600609016175	2.88255637449842e-07
CLSTN3	3.78588827017933	1.44437916597086	6.00672491041535	7.34575048364053e-05	36.0807441494043	7.34575048364053e-05
CLTA	4.82294188898849	0.952938045848366	2.36351277139487	0.0366579819778563	5.58619262054667	0.0366579819778563
CLTB	7.68890495025746	-1.57285245531718	-4.66470282894442	0.000611502962838001	21.7594524823621	0.000611502962838001
CLTC	5.67576860613483	-0.451489803782201	-1.59377250889392	0.138080026820496	2.54011081010602	0.138080026820496
CLTCL1	2.6090324969149	-0.456349737014043	-0.894352254499061	0.389465794635152	0.799865955127554	0.389465794635152
CLU	5.43835115313781	-1.5758762150836	-2.64163443072653	0.0221811827763163	6.97823246559985	0.0221811827763163
CLUAP1	4.45957011017063	-0.248584422374861	-1.07650789288887	0.303763011622733	1.15886924345205	0.303763011622733
CLUH	6.04052863598367	-0.391231673615566	-2.04599869263509	0.0643218177400197	4.1861106502645	0.0643218177400197
CLUHP3	2.1489985571649	0.327036783950625	0.870741218754501	0.401704747441046	0.758190270038074	0.401704747441046
CLVS1	0.15579387662875	-2.22874098035321	-3.41925685421074	0.00538845376164158	11.6913174350671	0.00538845376164157
CLYBL	0.749687006661938	-0.806008839092927	-1.6282938312934	0.130524713212903	2.65134080102815	0.130524713212903
CMA1	1.64904173322651	-2.15559268844305	-2.76974763211235	0.0175692884823584	7.67150194559195	0.0175692884823584
CMAHP	5.43495837516588	0.481997783620328	2.01683404066673	0.0676722213704476	4.06761954759208	0.0676722213704476
CMAS	3.740380650039	-0.822707685933079	-2.37907706368466	0.0356484439816359	5.66000767495042	0.0356484439816359
CMBL	-1.07778220466533	-3.92705757658164	-3.00011123342827	0.0115429528255325	9.00066741294247	0.0115429528255325
CMC1	3.68364267214305	0.354238295917604	1.17074797700669	0.265385993902259	1.37065082566525	0.265385993902259
CMC2	3.73023660246867	0.414116442295287	1.51751026746131	0.156134164855096	2.30283741185051	0.156134164855096
CMC4	3.42279306866263	-0.30164082969466	-1.31704944493882	0.213459574091269	1.73461924041366	0.213459574091269
CMIP	6.00009856540484	0.788908802094867	4.25074651489636	0.00123593168300305	18.0688459339036	0.00123593168300305
CMKLR1	4.92700685486192	4.00091748823713	9.67986098377963	7.16902365278684e-07	93.6997086652991	7.16902365278684e-07
CMPK1	6.28412741051247	-0.32474450742412	-1.23575460746861	0.241195216780165	1.52708944987991	0.241195216780165
CMPK2	4.62338846175823	4.48162765309244	8.22391623102028	3.75033522606677e-06	67.6327981748389	3.75033522606676e-06
CMSS1	4.99828062448425	-0.545697598071103	-2.10594300037928	0.0579170731948708	4.4349959208465	0.0579170731948708
CMTM1	0.488252287671966	1.85710774631829	4.07146107190636	0.00168746734430527	16.5767952600489	0.00168746734430526
CMTM3	5.5124310024698	1.22723760062129	4.90405611917808	0.000411360017502418	24.0497664200479	0.000411360017502418
CMTM4	6.29540853502597	-1.60311092618174	-6.46062220046387	3.79689727664961e-05	41.7396392171266	3.79689727664961e-05
CMTM6	8.59349620471666	0.568470449948098	1.77616349638684	0.102139064447523	3.15475676589712	0.102139064447523
CMTM7	2.62111798170074	1.64767441866101	5.17846552794531	0.000263678495144294	26.8165052241179	0.000263678495144294
CMTM8	-0.255573511507428	0.321299813736798	0.249843166839988	0.807115124149858	0.0624216080166339	0.807115124149858
CMTR1	4.39145272333295	0.0401143605027059	0.127488939951718	0.900755251551725	0.0162534298100128	0.900755251551725
CMTR2	2.38975988269158	1.61062682470729	2.39857931185215	0.0344213252150485	5.75318271524515	0.0344213252150485
CMYA5	3.21814190512502	-2.67707908954199	-5.33724206643166	0.000204841908768018	28.4861528756877	0.000204841908768018
CNBP	4.64143940370387	-0.301538712641742	-0.730951407042692	0.47943580578933	0.534289959457691	0.47943580578933
CNDP1	1.17450265230106	-0.640735288770286	-1.45037166559815	0.173674123496491	2.10357796836996	0.173674123496491
CNDP2	5.18872360250648	1.63348509532235	6.54013309443291	3.39207054763075e-05	42.7733408928966	3.39207054763075e-05
CNEP1R1	5.17016234226503	0.355703578269449	1.12341074912957	0.284165641287146	1.26205171125986	0.284165641287146
CNFN	2.48196719363471	0.460484659092841	0.314404120584791	0.758844071961921	0.0988499510406955	0.758844071961921
CNGA1	1.94133961473931	-2.51728687203504	-6.07310498156584	6.65822234227365e-05	36.8826041171198	6.65822234227365e-05
CNGB1	1.27069765286952	1.76454064177332	4.29099252164475	0.00115309885542753	18.4126168208112	0.00115309885542753
CNIH1	5.11358981670783	0.108449322418228	0.5530047978691	0.590846948006093	0.305814306466244	0.590846948006093
CNIH3	2.35650111875091	-0.488082631481391	-1.74089797282155	0.108354386606334	3.03072575177419	0.108354386606334
CNIH4	4.71034657649057	0.438257671459004	1.7426037686297	0.108046104824293	3.03666789444242	0.108046104824293
CNKSR1	2.44931505719664	-1.06242246940376	-2.74673472066781	0.0183213846515734	7.54455162572208	0.0183213846515734
CNKSR3	4.49305386566186	-0.54950908121319	-1.39385504309291	0.189707486200303	1.94283188115554	0.189707486200303
CNN1	1.26103276891309	-1.50401516722713	-3.72795560331884	0.00309510766796449	13.8976529803163	0.00309510766796449
CNN2	7.47785855174678	1.60670082386101	8.21358924155105	3.7975148201488e-06	67.4630482289232	3.7975148201488e-06
CNN3	6.65407220640773	0.0258042828143674	0.0816252218718348	0.936347969941368	0.00666267684562625	0.936347969941368
CNNM1	-0.209593638070965	-4.03449381865626	-3.15189176331246	0.00875356391955464	9.93442168763692	0.00875356391955464
CNNM2	4.60581320763541	-0.469720398954667	-1.44001585106534	0.176523309305305	2.07364565131944	0.176523309305305
CNNM3	4.2359336421553	-0.0730836660921454	-0.193024276977326	0.850306459659462	0.0372583715026194	0.850306459659462
CNNM4	4.85625281971674	0.115031947639779	0.258920274205529	0.800272429230575	0.0670397083946663	0.800272429230575
CNOT1	9.06339607102886	0.361715516204614	2.25512050448285	0.0444909779282516	5.08556848973898	0.0444909779282516
CNOT10	3.28354087416653	0.231728933487186	0.518877474281269	0.613683859547643	0.269233833316509	0.613683859547643
CNOT11	4.75584126999424	-0.0814129290349133	-0.228812015147972	0.823032856403359	0.0523549382760758	0.823032856403359
CNOT2	6.22671345892225	0.297058230273926	1.5530115755428	0.147490267564018	2.41184495376993	0.147490267564018
CNOT3	3.35775190414088	0.0102221126675572	0.0290043756474735	0.977358297879408	0.000841253806699756	0.977358297879408
CNOT4	4.64795680072215	-0.141728429843127	-0.603667484141077	0.557783177872842	0.364414431409217	0.557783177872842
CNOT6	4.49154376653112	0.282975354917219	0.592943163691461	0.564696358292952	0.351581595368438	0.564696358292952
CNOT6L	5.9685416056264	0.351021096537308	1.09952307575058	0.294022358134629	1.20895099410801	0.294022358134629
CNOT6LP1	0.0475715066288385	-1.8530085861853	-3.25987942453116	0.00719277538802151	10.6268138624816	0.00719277538802151
CNOT7	4.46902901766699	0.140798696792066	0.377418051368995	0.712734965673397	0.142444385499169	0.712734965673397
CNOT8	5.92551354418011	0.31766684156224	1.02511680913076	0.326386150206809	1.05086447236243	0.326386150206809
CNOT9	2.95585145036684	0.790129440351556	2.49623384268101	0.0288669374224812	6.23118339734599	0.0288669374224812
CNP	6.89131126426408	0.506379287287179	2.78488175445492	0.0170914462617558	7.75556638629592	0.0170914462617558
CNPPD1	6.04348236490453	-0.0336608039068773	-0.14582741549032	0.886582173870408	0.0212656351085863	0.886582173870408
CNPY2	5.78321375666314	0.83832449013122	4.98600829258588	0.000359798624770456	24.8602786937352	0.000359798624770456
CNPY3	4.69270133846271	1.08251509880394	4.09118981453632	0.00163032088870869	16.7378340985658	0.00163032088870869
CNPY4	3.94884796254346	0.955138876426283	3.55696475869354	0.0042038590759752	12.6519982945878	0.00420385907597519
CNR1	0.467166974000802	1.56757544776523	1.26020145144968	0.232565636301079	1.58810769823587	0.232565636301079
CNR2	0.427611449303205	-1.26706860330683	-0.774873421297415	0.454050831799952	0.60042881903316	0.454050831799952
CNRIP1	2.69747647766913	-0.00536763896260606	-0.0121221533524803	0.990535886393933	0.00014694660190105	0.990535886393933
CNST	4.59692713456456	-1.11772063351776	-1.81148362494093	0.0962381963725823	3.28147292342914	0.0962381963725823
CNTD1	0.0198581030460125	-0.237126773009238	-0.529286523208083	0.606671638360653	0.280144223649701	0.606671638360653
CNTF	-1.67771200710803	-1.82781290537093	-1.08140501058437	0.30167027172517	1.16943679691699	0.30167027172517
CNTLN	4.28143841839014	0.446076363262894	1.0911686153985	0.297530412337227	1.19064894723068	0.297530412337227
CNTN1	5.91753842759374	-2.35283669035979	-3.89418909229883	0.00230421311119714	15.1647086865792	0.00230421311119714
CNTN3	3.11352383232839	-0.734961310700541	-1.19100550449195	0.257651305734553	1.41849411173012	0.257651305734553
CNTN4	2.17396005294857	-1.91378839417011	-2.79559849610676	0.016760897311122	7.81537095143436	0.016760897311122
CNTN6	-0.0541886817353304	1.55771713902437	2.06629817772088	0.0620820451487503	4.26958815925263	0.0620820451487503
CNTNAP1	3.66933982060241	0.80753644194898	2.75603052181449	0.0180138195807513	7.59570423717307	0.0180138195807513
CNTNAP2	1.46291044499589	-0.142556815886538	-0.303921827511987	0.766615475324051	0.0923684772382263	0.766615475324051
CNTNAP3	2.84556660907891	-3.90579435480772	-7.66759218688237	7.47922270842213e-06	58.7919699443395	7.47922270842213e-06
CNTNAP3B	3.76775773512998	-2.55979922377298	-5.21615843246399	0.000248257784459622	27.2083087925652	0.000248257784459622
CNTNAP3P2	1.55547665977865	-2.13030294398783	-4.97869973681205	0.000364107794037003	24.7874510693324	0.000364107794037003
CNTNAP4	0.451935433753065	2.38550832227351	3.50626385286621	0.00460547821309809	12.2938862059162	0.0046054782130981
CNTRL	4.68505588468904	1.21276128949538	2.84767852002051	0.0152427815104327	8.10927295338622	0.0152427815104327
