"","geneID","HS01","HS02","HS03","HS04","HS05","CL08","CL10","CL11","CL12","CL13"
"63","AIM2",-5.51361216002677,-2.88431502766942,-5.58732452148392,-0.376908487430463,-1.28132806748301,4.48508128252682,5.23165194563468,6.05975983774519,5.70370022998145,5.50334386324147
"64","AK7",2.88136735263552,3.05003313222162,2.8605032598592,2.49741990341143,2.68056743813354,1.19367582468924,0.667582192965331,0.65730070576874,-1.786355702825,0.312488918928616
"65","AKNA",4.08473087757801,5.28399478656562,4.99612135934252,4.84613565358138,4.24398790774223,7.6169364848808,8.06559109747603,7.90158660733456,8.13404940870313,7.89323528282548
"66","AKR1C1",4.92174788091362,5.59060139264568,6.47430327630985,6.49940735813832,6.84893098761976,4.29598141218936,3.29171133452139,2.27888322806058,2.33375205559372,1.80755522228301
"67","AKR1C2",5.38987450930713,5.58500080520183,7.50351444017439,7.04694226315112,5.17035914349955,3.26027343040407,2.89940909251693,1.36714542950619,1.6127772081343,1.2585279932228
"68","AKR1C3",6.15957144216464,6.37270240747255,7.61660550377505,7.13426246897361,6.2321900442047,4.6821582326379,5.01948790032981,4.3153586337311,3.99066689881625,3.098421388036
"69","AL034550.1",-5.51361051438577,-5.84310679158678,-2.61906296040735,1.72468457728613,-1.28132806748301,2.02039339610733,1.63916628864651,2.65215224233221,2.82967714758962,3.12723780599536
"70","AL078584.1",3.14635030210968,2.42846269818362,3.17926317161566,2.132160675143,2.01595746712074,4.10963069576017,5.33719000438472,5.43319521403325,5.77902311811763,4.85697890402915
"71","AL928768.3",-5.51361216002677,-5.84312502698991,-5.58732452148392,-4.20960489090342,-1.28132806748301,3.79555768484483,0.467059496143144,1.32401929002425,0.968170495483685,1.13727741393683
"72","ALDH1B1",0.0902796816805895,-5.83099593620538,-0.196408155270512,0.95065847984535,0.95580530668082,3.26084494017985,2.83303930946232,3.52035398545831,2.29373185694993,2.43427896237285
"73","ALDH1L1",2.7655700809227,3.50948011884821,3.82175700811324,4.4941061049971,1.87097142669269,-0.59156889107025,0.896996966237201,-0.118302433305445,0.44460490838945,-1.39562076031946
"74","ALDH3A2",8.67190285954237,8.63396695217292,8.26221229522324,8.47362414007286,8.03210559217112,5.71702869153591,5.3618310237249,5.32238550005796,4.51870341512788,5.92795634234183
"75","ALDOC",7.1194912613111,7.271750310509,6.46779567275138,7.4389083190239,6.86157253831886,5.63436596041836,4.53663551581551,5.24116328122998,5.17585611584429,4.12008718783828
"76","ALOX5",1.10139913817708,1.61460405993642,2.33269342158431,3.21789991068555,3.89643905151144,4.41310424109553,4.88803971225926,5.41490649711252,5.38710173109233,5.34375056957736
"77","ALOX5AP",1.66622884850984,3.07733965632276,2.25836246715994,4.05172819585,3.9451633991016,5.85961873912268,5.73497803910148,6.11813753485999,6.46018872358472,5.46654403383609
"78","ALOXE3",5.85600327064091,5.48622313505017,5.16081919861792,4.58720724505015,5.78101569796887,3.6363862297653,-0.211881463322695,1.65781481921072,0.584788979998896,2.97676304240206
"79","ALPK2",0.288313057522228,1.26368727544283,0.992415743686739,-0.848278845476476,2.19443277899682,4.4804292398543,3.50141754979989,3.05517300752517,2.50190645653474,3.03692136148136
"80","ALPL",-1.12336126475044,1.03324582862019,0.0175772958533504,-4.20948496889067,0.936408509564951,3.85601748297438,6.26430733915554,4.81583757345941,5.10217676070809,4.22115415020373
"81","AMOT",5.20650504661066,5.71533848245923,5.6696641789143,5.84628759142658,6.04327843959048,1.95393075507607,2.57678201705929,2.2097719593986,1.41982262735737,2.36106036299544
"82","AMOTL1",8.55319165503759,8.11813910559727,8.03977408742978,8.23983050618379,8.2441584009404,6.45794138536678,6.54729950024403,5.84095616332923,4.58803387778854,6.19403943289021
"83","AMOTL2",5.4231673936911,5.35871575598022,6.28962841674176,4.93530447098454,4.99657357912021,3.69190643684358,3.21289574791037,3.24937426370893,3.56542910063601,3.29158448285563
"84","ANGPTL2",1.6738803735456,2.95495793562672,2.83348874722997,2.91198959400901,-1.28132806748301,4.1525660747555,4.17577500569164,5.1367252122933,3.80094055318113,4.72571200012489
