geneSymbol,HS01,HS02,HS03,HS04,HS05,CL08,CL10,CL11,CL12,CL13
EXOC6B,7.828370970944931,8.124179202213805,7.65976283180157,7.780291683146663,8.192997283980533,6.23820466973815,5.305245141358141,5.5598567805748385,5.150153669097399,5.88522235218351
ELL3,4.997750816772632,5.647109420177223,4.677388445348826,5.251144936840557,5.509952770637272,3.0218389447827994,2.177727485941739,2.2989258090272298,1.6126352597037041,2.7688643716807686
FAM222A,1.9315518699838339,1.9165062983969834,1.5442392177190298,2.2416221504532494,2.4046723675754933,-0.40827593306642374,-0.4147347643539812,-0.371437475038149,-0.789301966593403,0.24416918356085648
GPER1,1.9189341358926417,2.924012127814399,2.454833567581071,2.5523933289517626,2.362230570251658,0.4834805956959152,-0.25821889971407547,-0.17105954280716787,-0.5541653267602911,1.1497958411175997
EPB41L1,4.240743092707544,5.663988521655236,5.6196128687466205,5.856645492203518,5.410260085768444,3.3224467877881447,3.5913215473555407,1.2537187980789959,1.8676218702571052,3.400613477449365
BMS1P3,0.7221551058876471,1.7836982297423152,2.5672586007006526,1.5214060949474995,1.295409438035261,-2.644095779555795,-0.09329305784349096,-5.118379805642771,-5.373269488256955,-1.8115729058924748
TPPP,4.300118150794352,5.423933591910193,3.747705997409014,5.549863586909849,4.308592376532546,0.029816784449043215,0.5386644129880083,-5.118379805642771,-5.373269488256955,0.25353191743441844
SVIL,6.678782075852723,6.3926124317670565,6.418455671423465,6.641263371449361,6.090741063875751,5.013429418927475,4.77422681765517,3.01661444263867,3.196334516887688,5.2138440576874405
HSPA2,7.602388588339024,7.843826304239391,7.304072959881327,7.4427219188663685,7.126355352823861,6.206661641964174,5.200000784119451,3.400891462956482,3.9637119591544487,5.006002392902476
EFS,6.321522299372269,6.375271055828144,5.959799318698732,6.370874110067708,5.244729057440025,4.241688447074799,3.657355353570248,1.5671662704176132,2.6176076148097063,3.745424614899137
LARGE2,3.9344010128797584,4.683304065186851,4.826583611659605,4.944243852638976,3.929256483869098,2.7703460336988175,1.8807465382213127,1.2159609406388376,0.6323039060354686,1.6346021695967101
CALB2,4.397583038958753,4.594133073842348,5.633407191135012,5.445354591469046,3.1285978000498207,0.7710531683436316,1.4484001928643047,0.26884255034713267,-1.9757209787544505,0.0011375413688871736
PCLO,5.379155094147628,5.511864024829754,6.845411667441296,5.500551166471455,3.491009960190459,2.20007239804589,1.748711450719738,0.6909133276016678,0.433488146160722,2.065156550795286
MGST1,5.848471241086528,5.462330409120561,8.014335955424613,6.734890380385323,5.238080705097598,2.6823394824130737,3.443139300482467,1.6275355678563455,1.2905244817667885,2.956655287441454
NQO1,3.990276554074096,5.6259541652006675,6.709201657353607,5.810961951064205,5.2388556022773844,4.49856531751211,3.072695878367702,2.3927116796376073,3.202647819464223,3.1694823863638266
CNTNAP3B,4.356245436466067,4.90585180445703,6.567913093654912,4.664142498012812,4.3216493225814006,3.1343329956130734,2.9637686114942707,2.322928264042998,2.435670141489327,2.005075183487905
SVEP1,7.280644990711257,8.737444801742075,9.124563465446718,8.728452645586858,8.356086836039696,6.706100404080496,7.314206022947195,5.7409200911432094,5.545782102933177,5.86782040213689
GPC3,4.6286638924256165,6.015154991333692,6.424294828094271,6.2750205905778165,5.949109356382321,3.4134201627640723,4.84814355932076,2.7704604413981873,1.887682894536107,3.1464591810110196
ITGA7,4.035469433076377,4.508131565019221,6.021783728860055,5.7601502812396275,5.514513867311417,2.9445562391415905,4.034481060097005,1.6816511588010428,1.2898507015083296,2.1398195308315078
NAT8L,4.009345795200772,5.479571146847921,6.091662020662439,6.542333559643534,5.963105241334288,-0.12772875480242155,1.7546980673480526,-0.8823398272777947,-0.5514483323018841,-0.445639213975668
FHL1,7.8898389969158895,9.602494228671496,9.783242574281571,10.239661875581355,9.25869297964045,6.2170357477233855,6.33778215675776,5.020784357648765,5.144491561189073,4.920519133718758
PALM,4.690997857226761,6.186503949075467,6.287331870100234,6.694970297997894,6.668206672918702,3.531823832145965,3.743496902378028,2.4930700825108865,2.6463172003576925,3.299753636150901
SPRY1,3.634630862980256,4.572645965181944,4.006324198409923,4.56512026407546,4.713134151943061,2.6689227771333264,2.979831247705753,1.1249717325835038,1.551384397314613,1.472982497765084
SLIT3,7.791372812306641,9.035741383770304,8.42291550756508,9.007647506273615,9.212742266273807,6.666504179544867,7.6158226541242176,4.827135761461965,5.775188756980847,5.945973034281926
GDF10,2.568152309212706,3.9937012723497882,2.609917893348589,4.69171912434153,4.558635975750241,-0.07229469988623717,1.284379180689735,-0.8823407017087168,-1.7073807243528054,-0.8162523862227438
LPL,2.312917953519079,4.405228548796322,5.328428855086358,4.577509745974086,6.156085236766433,2.193951221069769,1.843212178335811,0.22730081008539552,0.12596555151592947,-0.19707983040684648
AKR1C1,4.921747880913622,5.59060139264568,6.474303276309854,6.499407358138316,6.848930987619757,4.29598141218936,3.2917113345213878,2.27888322806058,2.3337520555937212,1.80755522228301
SEMA3A,2.0137198808110215,3.7507559549208067,3.3923549353202875,3.373677709694984,4.0458653377762275,2.038021223287121,0.8340317552128446,-1.0277143934669872,-0.7232156949828688,0.30369640527984976
SLC5A9,2.622781667839247,1.5163960389592075,2.2358203522174276,1.6928480271566786,2.866717064614935,0.16759262828166918,1.1241991542324161,-1.3393520415904945,-1.6951593511649348,-0.06707794941684496
CADM2,2.8474768836207507,1.7933536042573017,3.725533119587137,2.202170286460362,3.5894281236050998,0.022464906878372118,0.5692216407288808,-2.285602371573491,-1.6684943797378564,-0.7062585008695732
SALL2,3.1948329705679055,3.183046567972959,3.2579371775021415,2.866280750294438,3.596361338611215,0.9333924731008009,2.410792377217362,0.48100071785839726,0.3033631896389718,1.0212495270362996
NOS1AP,2.865428019940601,2.065326806582529,2.566633588002734,2.119470720995746,2.566285831450554,0.3437269379177193,1.4015615177999947,-0.135221333483308,-0.10176918376122876,0.4833531290453932
PCDHGA7,2.0642225354724366,2.541034589804855,2.894535358763722,1.2280686649192023,2.1547228257585296,-0.18338523956318672,0.4696044875276397,-0.7525991976296651,-1.8523850787711442,0.07272209214964996
PTPRF,8.692039334697556,8.810331412901542,8.903683161325933,8.458093227272009,9.621863613170069,6.571839488598269,5.464786562195636,4.120886933448637,4.501500352584547,6.116898590477122
EDA,3.9943684138385964,4.698914671600926,4.352150687292696,4.056630897494145,4.687698134952427,2.445550512115506,1.8834883401501243,0.9376729991439279,0.9640820397842278,1.7487104171830197
PCDHGB1,1.254416659542263,1.4199530365161133,1.95142969249106,1.3175768521766404,2.7094189508299356,0.08375277208642114,-0.47877036844245996,-1.6703522413656688,-1.3304856907779348,-0.4147318905126141
OVCH2,2.0916446930309216,1.304503125495103,2.3994372034999794,2.3207894534123614,3.4103161884142055,-1.7200202926362396,-2.185694594981728,-5.118379805642771,-5.373269488256955,-2.6422819914306013
DMTN,5.222750718097144,4.437800657868108,5.239647761306666,4.736834292536675,5.079352733893916,3.0324808262935106,2.7545687053371677,2.052653753794348,1.8940385200368242,2.7272247303341226
EVPL,6.473132361406671,5.7897192179604895,7.23109608785025,6.104690103170874,8.516513977539953,3.035309038274474,2.735365013191031,1.049484574993988,0.27143976842399836,2.1407718105084714
AXIN2,5.777726973199967,4.949152691776372,5.762140059787063,4.987031752994119,6.314607806065151,3.9210434620608687,3.6658634093748645,2.656030272863524,2.296461784704805,3.3207473379873305
PCYOX1,7.8683324085031385,8.151178948742029,8.389237717627763,7.520692028815394,8.793348221598775,5.936152433336201,6.608487407671672,4.843363022577712,5.557980971661156,6.4607894455547745
NFIA,6.196902074263708,6.842588736485609,7.086937605418304,6.059234523893984,7.82151355606061,4.146623226166093,4.2318540827563345,2.102534961150631,3.1633759962377686,4.165642102374006
