"","geneID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2457","HIST2H3C",2.21215079476546,6.55659800185827,4.77208453257124,0.000511367588170305,0.00318769543038588,-0.427248364692969
"2458","SLC4A10",2.21207963577916,-0.716440955347336,2.99542251624776,0.0116420845280763,0.0358408934572049,-2.76067109532694
"2459","FAM222A",-2.20926620134848,0.829901094863749,-6.20831661603333,5.46059844640614e-05,0.000601171156326234,2.24900230665926
"2460","KAT14",-2.20894815531654,2.33143760717778,-3.66136033923713,0.00348605669327254,0.014171102914393,-1.97346629137397
"2461","TMEM106A",2.20777420734602,2.72521573386185,3.56503739513677,0.00414330266138577,0.0162606071896374,-2.1615858696731
"2462","SNAP29",-2.2072833699087,2.67324902405723,-2.21314525823818,0.0479351768481345,0.108378515121244,-4.56547735113304
"2463","ZNF625",-2.20675757807343,0.766213669016199,-2.36369300710963,0.0366461351558791,0.0875069238261921,-4.03481922648302
"2464","CALHM2",2.20650662804992,1.95843954856492,1.62949061163102,0.13026942669492,0.234853412934518,-5.33702041334131
"2465","PPP3CC",2.20405342222168,4.21740299802249,6.17577065996267,5.72624371980764e-05,0.000621929249819611,2.02117493804507
"2466","ST6GALNAC4",2.20321624851811,3.37552208743511,6.43095414652337,3.96088798377463e-05,0.000480302277892381,2.45744943593977
"2467","PSPHP1",-2.20060344184572,1.13097276826286,-1.55440593983558,0.147159386541729,0.257309717693481,-5.34021165223999
"2468","GJB3",-2.19966840970582,5.07521736161722,-4.42227664068195,0.000920872785542082,0.0050448518610553,-0.943817300285939
"2469","TFAP2C",-2.19949857589118,5.77061734401182,-7.05507319162542,1.66735888170774e-05,0.000264019302415682,3.14560443762403
"2470","C17orf62",2.19764021671792,5.75063048057875,9.47097679328415,8.97773525856827e-07,3.88943499934575e-05,6.16820338540667
"2471","SNX20",2.19710363672258,2.53404378803445,3.68465371679903,0.0033438433977269,0.0137329802917472,-1.92849394054107
"2472","PCYOX1",-2.19703137480896,7.01295626060886,-6.45157255881751,3.8461384715911e-05,0.000468433763889243,2.22016745304088
"2473","ANK3",-2.19550398530506,6.74285947897856,-6.03774607844178,7.01550254069252e-05,0.000710365306089784,1.60399464793153
"2474","TBC1D30",2.19418899529268,2.34507439651877,3.84885520556316,0.00249662566885821,0.0109116577288527,-1.60929058675471
"2475","RPL9",-2.19307771812812,6.38911867099513,-1.29280780219126,0.221444555287002,0.348349061229771,-6.3464806385951
"2476","NMNAT2",-2.19303766773087,0.937948325725968,-3.88370345298432,0.00234731179553058,0.0104337640342632,-1.42518039839916
"2477","AURKA",2.19301722591811,2.4633058183654,3.81686559322671,0.00264232358681672,0.0114092334108163,-1.67717119254082
"2478","ARHGAP15",2.1928356128368,4.33349441702059,6.06007969141277,6.78753134697724e-05,0.000696204749828496,1.84486294568188
"2479","SLC46A3",2.19264599375113,3.18354914390476,5.34838939148344,0.000201269640009851,0.0015496765896402,0.840189099502362
"2480","GRHL1",-2.19259884741133,6.92047591118451,-4.45729584500187,0.000867578585075131,0.00481049901378735,-1.00960508182952
"2481","CASP10",2.19235396312216,4.93515382575161,11.557094621964,1.11400978457263e-07,1.07275864773649e-05,8.28006004812006
"2482","FOXJ1",-2.19123793575165,0.141257439052792,-4.18837383301888,0.00137675277629175,0.00683476282045516,-0.822349464635355
"2483","ASB2",2.19061839458976,0.99855405403248,3.51830250089722,0.00450669361808905,0.0173754600501088,-2.03555031658615
"2484","PDE9A",-2.19059449529986,2.02796729461667,-4.72518807661945,0.000552799977330018,0.00338892315625296,-0.101778485937023
"2485","CCDC170",2.1903984676041,1.3890008933523,2.27992781008546,0.0425679196384205,0.0988295050211008,-4.22863032198573
"2486","NQO1",-2.19002819712914,4.37113530113154,-3.9847037496784,0.00196453072959245,0.00907195559303783,-1.64145898084989
"2487","NFKB2",2.18891239412182,3.18644722271279,5.16271001171942,0.000270420895324346,0.00193347874676765,0.550071194650957
"2488","PEX11B",2.18872935803117,0.135463936263643,2.22925572305747,0.0465842449795993,0.105940161159191,-4.14830454582598
"2489","SLC24A4",2.18807948502627,2.81093728947013,3.15661676781685,0.00867859027036252,0.0286811710296167,-2.89577352443297
"2490","FSTL4",-2.18510037172816,2.8089639920213,-5.38644935648785,0.000189560969406493,0.00148672028226154,0.905038232094863
"2491","INTS2",2.18424794076822,1.93324586421169,1.20085291107663,0.253955965637042,0.386513076969656,-5.8800653633468
"2492","HCG4B",2.18424689420272,-0.253293772307527,3.65352071806789,0.00353530551511178,0.0143301033819478,-1.67834512130427
"2493","APEX2",2.18312712726711,-0.0652701353744863,2.92663890399605,0.0131983406459346,0.0394605521080777,-2.93445339582762
"2494","NIPAL2",-2.18227161712822,6.11594865490942,-7.88889034893472,5.65975576518753e-06,0.00012433076471181,4.24482027552151
"2495","BTNL9",-2.18159191061742,0.552903035927163,-2.81173008501181,0.016275262794521,0.0465139952670315,-3.25019177148183
"2496","PHLPP1",-2.18116266128812,3.78025208641618,-7.39034815413906,1.06909177456014e-05,0.000191421659434132,3.74136464165236
"2497","FBXO17",-2.18053531513527,0.756250630210729,-3.35600123664865,0.00604189628280782,0.0217220556834281,-2.30705502671338
"2498","MAPK11",2.17915368590185,2.21217848429089,3.94477234597936,0.00210750365068838,0.00958141019560258,-1.42142014744529
"2499","PFKFB4",2.17907817905056,3.03320542779475,4.9037519457582,0.000411565260232465,0.00268839751885574,0.126530047866784
"2500","IL4R",2.17850917722597,5.64600717255785,7.31747435771824,1.17614144904497e-05,0.000204843538152256,3.526813296612
